annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Matera - Potenza,Matera - Potenza 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,Nota dell'editore,Ricercato1.jpg,False,accertata
82/83,Matera - Potenza,Matera - Potenza 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
83/84,Matera - Potenza,Matera - Potenza 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
84/85,Matera - Potenza,Matera - Potenza 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,giugno 1984,Inserto Costituzione,MTPT84.jpg,True,accertata
85/86,Matera - Potenza,Matera - Potenza 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,da serie iniziale a serie tardiva,Ricercato1.jpg,False,accertata
86/87,Matera - Potenza,Matera - Potenza 87,87,Copertina 87 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,luglio 1986,,MTPT87.jpg,True,accertata
87/88,Matera - Potenza,Matera - Potenza 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,luglio 1987,,MTPT88.jpg,True,accertata
88/89,Matera - Potenza,Matera - Potenza 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,luglio 1988,,MTPT89.jpg,True,accertata
89/90,Matera - Potenza,Matera - Potenza 90,90,Copertina 90 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,luglio 1989,,MTPT90.jpg,True,accertata
90/91,Matera - Potenza,Matera - Potenza 91,91,Copertina 1991 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,agosto 1990,nota dell'editore,MTPT91.jpg,True,accertata
91/92,Matera - Potenza,Matera - Potenza 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,luglio 1991,,MTPT92.jpg,True,accertata
92/93,Matera - Potenza,Matera - Potenza 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,agosto 1992,,MTPT93.jpg,True,accertata
93/94,Matera - Potenza,Matera - Potenza 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,agosto 1993,,MTPT94.jpg,True,accertata
94/95,Matera - Potenza,Matera - Potenza 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Matera - Potenza,Matera - Potenza 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,agosto 1995,,MTPT96.jpg,True,accertata
96/97,Matera - Potenza,Matera - Potenza 97,97,Copertina 97 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False,accertata
97/98,Matera - Potenza,Matera - Potenza 98,98,Copertina 98 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,22,agosto 1997,,MTPT98.jpg,True,accertata
